Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Bovenweg 223,Sint Pancras,525000.0,251.0,135.0,1972.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,D,,"Achtertuin, voortuin en zijtuin",60.35
Julianastraat 19,Waddinxveen,425000.0,181.0,109.0,1935.0,Bestaande bouw,"Herenhuis, geschakelde 2-onder-1-kapwoning",Schilddak bedekt met bitumineuze dakbedekking en pannen,4,1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,14.35
Kuipersgilde 3,Houten,575000.0,198.0,138.0,1986.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,18.55
De Kamp 1 A,Pannerden,259500.0,231.0,92.0,1989.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",21.9
Wildrijklaan 8,Sassenheim,1050000.0,423.0,210.0,2000.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,6,2 badkamers en 2 aparte toiletten,4 woonlagen en een kelder,A,"Aan rustige weg, aan water, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",13.4
Tol 4,Oudewater,445000.0,127.0,126.0,2016.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,17.45
Furkabaan 698,Utrecht,425000.0,170.0,87.0,1984.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk,Achtertuin en voortuin,70.8
Abeelstraat 71,Dordrecht,825000.0,413.0,232.0,1974.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7,1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk,Achtertuin en voortuin,50.9
Overegge 8,Zuidveen,249500.0,235.0,124.0,1920.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak,5,1 badkamer en 1 apart toilet,2 woonlagen,G,"Aan rustige weg, beschutte ligging en in centrum",Voortuin en zijtuin,5.8
Gaasterland 59,Amstelveen,550000.0,137.0,111.0,1992.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,4,1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,20.4
